Identifiant;Statut;Motif du refus;Domaine;Activité;Commune;Rue;Type d'ouvrage;Code ouvrage;Num. DI;Ordre de travail;Programme;Créé le;Entreprise;Date Intervention;Intervenant;Observation;Durée Intervention
44909691;A valider;;Eclairage public;Curatif Armoire;QUIMPER;RUE SAINT ALOR;Armoire;167;;;;21/01/2026;CITEOS QUIMPER;21/01/2026;CITEOS_EQUIPE 2;;
44909689;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE LEON BLUM;Luminaire;E3363;;485;;20/01/2026;CITEOS QUIMPER;20/01/2026;;;
44909687;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE DU BRADEN;Luminaire;E1441_1;;485;;20/01/2026;CITEOS QUIMPER;20/01/2026;;;
44909685;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;BOULEVARD DE CREAC'H GWEN;Luminaire;E2261_1;;485;;20/01/2026;CITEOS QUIMPER;20/01/2026;;;
44909683;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE FELIX LE DANTEC;Luminaire;E2969_1;;485;;20/01/2026;CITEOS QUIMPER;20/01/2026;;;
44909681;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ALLEE DE KERNENEZ;Luminaire;E2282_1;;485;;20/01/2026;CITEOS QUIMPER;20/01/2026;;;
44909679;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ALLEE DE KERNENEZ;Luminaire;E2281_1;;485;;20/01/2026;CITEOS QUIMPER;20/01/2026;;;
44909677;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE PRESIDENT SADATE;Luminaire;E2289_1;;485;;20/01/2026;CITEOS QUIMPER;20/01/2026;;;
44909675;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE DE LA PLAGE DES GUEUX;Luminaire;E3140_1;;485;;20/01/2026;CITEOS QUIMPER;20/01/2026;;;
44909673;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE DE LA PLAGE DES GUEUX;Luminaire;E1667_1;;485;;20/01/2026;CITEOS QUIMPER;20/01/2026;;;
