Identifiant;Statut;Motif du refus;Domaine;Activité;Commune;Rue;Type d'ouvrage;Code ouvrage;Num. DI;Ordre de travail;Programme;Créé le;Entreprise;Date Intervention;Intervenant;Observation;Durée Intervention;obs_clean;remplacement_fusible;remplacement_ampoule;remplacement_driver;remplacement_boite_derivation;remplacement_driver_et_connexions;pose_lanterne_provisoire;separation_phases_cablage;plateau_led_hs;reenclenchement_disjoncteur;reprise_raccordement;refection_connexions;resume_ia
44909739;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE LEON BLUM;Luminaire;E2928_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909737;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE FRANCOIS LE GUINER;Luminaire;E956_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909735;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE PARK BIHAN;Luminaire;E3092_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909733;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROND POINT GUTENBERG;Luminaire;E2860_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909731;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;BOULEVARD FLANDRES DUNKERQUE1940;Luminaire;E1116_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909729;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE DU MORBIHAN;Luminaire;E1108_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909727;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROND POINT GUTENBERG;Luminaire;E1106_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909725;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ROND POINT GUTENBERG;Luminaire;E2805_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909723;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;HENT KAMM;Luminaire;E232_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909721;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE SAINT ALOR;Luminaire;E231_1;;485.0;;21/01/2026;CITEOS QUIMPER;2026-01-21;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
